level,size,network_cells,plants,branches,solution_taps,difficulty_score
51,5,25,5,4,27,571
52,5,25,5,4,26,572
53,5,25,5,4,30,574
54,5,25,5,4,28,574
55,5,25,5,4,31,575
56,5,25,5,4,29,575
57,5,25,5,4,31,575
58,5,25,5,4,31,575
59,5,25,5,4,28,576
60,5,25,5,4,28,576
61,5,25,5,4,29,577
62,5,25,5,4,28,578
63,5,25,5,4,32,578
64,5,25,5,4,30,578
65,5,25,5,4,33,579
66,5,25,5,4,32,580
67,5,25,5,4,30,582
68,5,25,5,4,33,583
69,5,25,5,4,31,583
70,5,25,5,4,35,583
71,5,25,5,4,34,584
72,5,25,5,4,35,585
73,5,25,5,4,37,587
74,5,25,5,4,33,587
75,5,25,5,4,35,587
76,5,25,5,4,35,589
77,5,25,6,5,34,590
78,5,25,5,4,35,591
79,5,25,6,5,33,591
80,5,25,6,5,35,591
81,6,26,5,4,29,599
82,6,26,5,4,31,603
83,6,26,5,4,32,604
84,6,26,5,4,34,610
85,6,26,6,5,38,614
86,6,26,5,4,38,614
87,6,26,5,4,36,616
88,6,27,5,4,28,616
89,6,27,5,4,31,617
90,6,26,5,4,40,618
91,6,27,5,4,27,619
92,6,27,5,4,31,619
93,6,27,5,4,28,620
94,6,27,5,4,34,624
95,6,27,5,4,34,628
96,6,27,5,4,37,633
97,6,28,5,4,35,645
98,6,28,5,4,37,649
99,6,28,5,4,38,652
100,6,28,5,4,37,653
101,6,28,5,4,38,654
102,6,28,5,4,39,655
103,6,28,5,4,38,656
104,6,28,5,4,41,659
105,6,29,5,4,37,665
106,6,29,5,4,34,666
107,6,29,5,4,34,668
108,6,29,5,4,36,674
109,6,29,5,4,40,676
110,6,29,5,4,39,677
111,6,29,5,4,46,680
112,6,29,5,4,40,680
113,6,30,5,4,34,686
114,6,30,5,4,33,687
115,6,30,5,4,38,688
116,6,30,5,4,37,691
117,6,30,5,4,41,693
118,6,30,5,4,41,699
119,6,30,6,5,38,700
120,6,30,6,5,41,703
121,6,31,5,4,38,710
122,6,31,5,4,38,712
123,6,31,5,4,42,718
124,6,31,5,4,44,720
125,6,31,5,4,41,723
